key,pubkey,seen_count,first_seen_unix,last_seen_unix,severity,classification,action,pool,role,dex
DhqdGGgkAnj8AYqh2zbb8JRS3bfZZ8j2JQTQZ739moCk::unknown:live_state_stale,DhqdGGgkAnj8AYqh2zbb8JRS3bfZZ8j2JQTQZ739moCk,1,1781356816,1781356816,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
DpG1i4hNRtKHyPf59uTRRegWfNKw1HDLLqRj93vy4MUk::unknown:live_state_stale,DpG1i4hNRtKHyPf59uTRRegWfNKw1HDLLqRj93vy4MUk,2,1781355777,1781355777,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
Drx7X5bUajSPY6m5f2QhD2CK8c3RBMKgueSpZgCgUzkP:Drx7X5bUajSPY6m5f2QhD2CK8c3RBMKgueSpZgCgUzkP:pool:live_state_stale,Drx7X5bUajSPY6m5f2QhD2CK8c3RBMKgueSpZgCgUzkP,26,1781355273,1781356803,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,Drx7X5bUajSPY6m5f2QhD2CK8c3RBMKgueSpZgCgUzkP,pool,TessVdML9pBGgG9yGks7o4HewRaXVAMuoVj4x83GLQH
DuFXxPxAyJhHj4gMpE8As1Ta4nSSVXv8xfEDRrWQmJ9G::unknown:normal,DuFXxPxAyJhHj4gMpE8As1Ta4nSSVXv8xfEDRrWQmJ9G,2,1781356730,1781356731,needs_manual_check,normal,none,,unknown,unknown
Dy5hh2tRoxNTBzXMEi61hyA3EnG4NnpzfVxVmGHfeKzV:BhQEFZCRnWKQ21LEt4DUby7fKynfmLVJcNjfHNqjEF61:tokenAccountA:live_state_stale,Dy5hh2tRoxNTBzXMEi61hyA3EnG4NnpzfVxVmGHfeKzV,1,1781356224,1781356224,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,BhQEFZCRnWKQ21LEt4DUby7fKynfmLVJcNjfHNqjEF61,tokenAccountA,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
E2BcoCeJLTa27mAXDA4xwEq3pBUcyH6XXEHYk4KvKYTv:2QdhepnKRTLjjSqPL1PtKNwqrUkoLee5Gqs8bvZhRdMv:tokenAccountA:normal,E2BcoCeJLTa27mAXDA4xwEq3pBUcyH6XXEHYk4KvKYTv,1,1781355509,1781355509,needs_grpc_live_state,normal,none,2QdhepnKRTLjjSqPL1PtKNwqrUkoLee5Gqs8bvZhRdMv,tokenAccountA,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
ECdXuXs7Sqsp9CaoA2LuZxYZnbs3oGA4tT7NNQARcsir::unknown:live_state_stale,ECdXuXs7Sqsp9CaoA2LuZxYZnbs3oGA4tT7NNQARcsir,3,1781356025,1781356026,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v:2bnZ1edbvK3CK3LTNZ5jH9anvXYCmzPR4W2HQ6Ngsv5K:tokenmentB:normal,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5,1781354292,1781355493,needs_manual_static_or_synthetic,normal,none,2bnZ1edbvK3CK3LTNZ5jH9anvXYCmzPR4W2HQ6Ngsv5K,tokenmentB,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
EZVkeboWeXygtq8LMyENHyXdF5wpYrtExRNH9UwB1qYw:EZVkeboWeXygtq8LMyENHyXdF5wpYrtExRNH9UwB1qYw:pool:live_state_stale,EZVkeboWeXygtq8LMyENHyXdF5wpYrtExRNH9UwB1qYw,4,1781356234,1781356236,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,EZVkeboWeXygtq8LMyENHyXdF5wpYrtExRNH9UwB1qYw,pool,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
EgEYXef2FCoEYLHJJW74dMbom1atLXo6KwPuA6mSATYA::unknown:live_state_stale,EgEYXef2FCoEYLHJJW74dMbom1atLXo6KwPuA6mSATYA,9,1781354154,1781355376,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
